Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
2024-11-04 17:06:00.193378,20.9,11.3,0.0,0.0
2024-11-04 17:06:00.197555,18.7,11.3,0.0,0.0
2024-11-04 17:06:00.226184,19.9,11.3,0.0,0.0
2024-11-04 17:06:00.228573,19.9,11.3,0.0,0.0
2024-11-04 17:06:00.233924,20.6,11.3,0.0,0.0
2024-11-04 17:06:00.276485,19.7,11.3,0.0,0.0
2024-11-04 17:06:00.295467,19.5,11.3,0.0,0.0
2024-11-04 17:06:00.319002,19.3,11.3,0.0,0.0
2024-11-04 17:06:00.321563,19.6,11.3,0.0,0.0
2024-11-04 17:06:00.346852,18.0,11.3,0.0,0.0
2024-11-04 17:06:00.346693,17.9,11.3,0.0,0.0
2024-11-04 17:06:00.357473,16.9,11.3,0.0,0.0
2024-11-04 17:06:00.371805,16.1,11.3,0.0,0.0
2024-11-04 17:06:00.388046,14.7,11.3,0.0,0.0
2024-11-04 17:06:00.439228,11.4,11.3,0.0,0.0
2024-11-04 17:06:00.486393,8.6,11.3,0.0,0.0
2024-11-04 17:06:00.518958,7.3,11.3,0.0,0.0
2024-11-04 17:06:00.521499,7.3,11.3,0.0,0.0
2024-11-04 17:06:00.528084,7.1,11.3,0.0,0.0
2024-11-04 17:06:00.531232,7.4,11.3,0.0,0.0
2024-11-04 17:06:00.560163,5.8,11.3,0.0,0.0
2024-11-04 17:06:00.563236,6.2,11.3,0.0,0.0
2024-11-04 17:06:00.566987,5.5,11.3,0.0,0.0
2024-11-04 17:06:00.608952,5.5,11.3,0.0,0.0
2024-11-04 17:06:00.628396,5.3,11.3,0.0,0.0
2024-11-04 17:06:00.652067,5.4,11.3,0.0,0.0
2024-11-04 17:06:00.654643,5.1,11.3,0.0,0.0
2024-11-04 17:06:00.680549,5.5,11.3,0.0,0.0
2024-11-04 17:06:00.680583,5.5,11.3,0.0,0.0
2024-11-04 17:06:00.690674,6.2,11.3,0.0,0.0
2024-11-04 17:06:00.704737,6.9,11.3,0.0,0.0
2024-11-04 17:06:00.721158,7.3,11.3,0.0,0.0
2024-11-04 17:06:00.772195,8.9,11.3,0.0,0.0
2024-11-04 17:06:00.819118,8.4,11.3,0.0,0.0
2024-11-04 17:06:00.852008,8.9,11.3,0.0,0.0
2024-11-04 17:06:00.854511,8.9,11.3,0.0,0.0
2024-11-04 17:06:00.861214,8.9,11.3,0.0,0.0
2024-11-04 17:06:00.863760,8.5,11.3,0.0,0.0
2024-11-04 17:06:00.892857,8.7,11.3,0.0,0.0
2024-11-04 17:06:00.896922,8.3,11.3,0.0,0.0
2024-11-04 17:06:00.899680,8.4,11.3,0.0,0.0
2024-11-04 17:06:00.941473,8.5,11.3,0.0,0.0
2024-11-04 17:06:00.961314,8.3,11.3,0.0,0.0
2024-11-04 17:06:00.984689,8.0,11.3,0.0,0.0
2024-11-04 17:06:00.987528,8.0,11.3,0.0,0.0
2024-11-04 17:06:01.013204,7.8,11.3,0.0,0.0
2024-11-04 17:06:01.013546,7.8,11.3,0.0,0.0
2024-11-04 17:06:01.023374,7.2,11.3,0.0,0.0
2024-11-04 17:06:01.037765,6.5,11.3,0.0,0.0
2024-11-04 17:06:01.054261,6.7,11.3,0.0,0.0
2024-11-04 17:06:01.105543,5.6,11.3,0.0,0.0
2024-11-04 17:06:01.152710,9.1,11.3,0.0,0.0
2024-11-04 17:06:01.185270,11.3,11.3,0.0,0.0
2024-11-04 17:06:01.187700,11.3,11.3,0.0,0.0
2024-11-04 17:06:01.195932,12.0,11.3,0.0,0.0
2024-11-04 17:06:01.198504,12.1,11.3,0.0,0.0
2024-11-04 17:06:01.226165,15.2,11.3,0.0,0.0
2024-11-04 17:06:01.231479,15.3,11.3,0.0,0.0
2024-11-04 17:06:01.233241,16.8,11.3,0.0,0.0
2024-11-04 17:06:01.274976,22.3,11.4,0.0,0.0
2024-11-04 17:06:01.311547,26.7,11.4,0.0,0.0
2024-11-04 17:06:01.331402,32.6,11.4,0.0,0.0
2024-11-04 17:06:01.331343,32.8,11.4,0.0,0.0
2024-11-04 17:06:01.361404,40.8,11.4,0.0,0.0
2024-11-04 17:06:01.371297,40.8,11.4,0.0,0.0
2024-11-04 17:06:01.371282,43.6,11.4,0.0,0.0
2024-11-04 17:06:01.391401,46.9,11.4,0.0,0.0
2024-11-04 17:06:01.401659,51.9,11.4,0.0,0.0
2024-11-04 17:06:01.461436,66.0,11.5,0.0,0.0
2024-11-04 17:06:01.493146,76.5,11.5,0.0,0.0
2024-11-04 17:06:01.521867,82.5,11.5,0.0,0.0
2024-11-04 17:06:01.531626,83.3,11.5,0.0,0.0
2024-11-04 17:06:01.538332,85.0,11.5,0.0,0.0
2024-11-04 17:06:01.541843,84.7,11.5,0.0,0.0
2024-11-04 17:06:01.571616,89.7,11.5,0.0,0.0
2024-11-04 17:06:01.581645,90.7,11.5,0.0,0.0
2024-11-04 17:06:01.583339,90.7,11.5,0.0,0.0
2024-11-04 17:06:01.631580,97.4,11.6,0.0,0.0
2024-11-04 17:06:01.661647,99.3,11.6,0.0,0.0
2024-11-04 17:06:01.673027,99.3,11.6,0.0,0.0
