,Timestamp,CPU [%],RAM [GiB],GPU [%],VRAM [GiB]
0,2024-11-05 01:25:05.624578,7.9,5.9,0.0,0.0
1,2024-11-05 01:25:05.768698,7.0,5.9,0.0,0.0
2,35.2,6.3,0.0,0.0,
3,2024-11-05 01:25:06.146011,46.8,6.7,0.0,0.0
4,38.9,7.2,0.0,0.0,
5,2024-11-05 01:25:06.507689,33.1,7.3,0.0,0.0
6,32.5,7.5,0.0,0.0,
7,2024-11-05 01:25:06.862939,35.2,7.8,0.0,0.0
8,36.6,8.2,0.0,0.0,
9,2024-11-05 01:25:07.213588,33.6,8.4,0.0,0.0
10,32.2,8.6,0.0,0.0,
11,2024-11-05 01:25:07.567750,32.3,8.8,0.0,0.0
12,37.3,9.2,0.0,0.0,
13,2024-11-05 01:25:07.921639,37.4,9.5,0.0,0.0
14,32.6,9.6,0.0,0.0,
15,2024-11-05 01:25:08.295908,32.2,9.8,0.0,0.0
16,28.2,10.0,0.0,0.0,
17,2024-11-05 01:25:08.646616,14.7,10.1,0.0,0.0
18,6.5,10.1,0.0,0.0,
19,2024-11-05 01:25:09.008859,8.2,10.2,0.0,0.0
20,8.1,10.2,0.0,0.0,
21,2024-11-05 01:25:09.357620,6.2,10.2,0.0,0.0
22,4.6,10.2,0.0,0.0,
23,2024-11-05 01:25:09.718413,1.7,10.2,0.0,0.0
24,6.6,10.2,0.0,0.0,
25,2024-11-05 01:25:10.078788,6.4,10.2,0.0,0.0
26,1.4,10.2,0.0,0.0,
27,2024-11-05 01:25:10.428152,1.6,10.2,0.0,0.0
28,10.5,10.2,0.0,0.0,
29,2024-11-05 01:25:10.776935,10.8,10.2,0.0,0.0
30,1.6,10.2,0.0,0.0,
31,2024-11-05 01:25:11.127940,1.5,10.2,0.0,0.0
32,1.5,10.2,0.0,0.0,
33,2024-11-05 01:25:11.488290,1.6,10.2,0.0,0.0
34,1.5,10.2,0.0,0.0,
35,2024-11-05 01:25:11.839318,1.5,10.2,0.0,0.0
36,1.6,10.2,0.0,0.0,
37,2024-11-05 01:25:12.200302,17.0,10.2,0.0,0.0
38,15.8,10.2,0.0,0.0,
39,2024-11-05 01:25:12.549885,1.3,10.2,0.0,0.0
40,1.4,10.2,0.0,0.0,
41,2024-11-05 01:25:12.899821,1.4,10.2,0.0,0.0
42,1.6,10.2,0.0,0.0,
43,2024-11-05 01:25:13.260737,1.4,10.2,0.0,0.0
44,1.4,10.2,0.0,0.0,
45,2024-11-05 01:25:13.623165,1.7,10.2,0.0,0.0
46,1.7,10.2,0.0,0.0,
47,2024-11-05 01:25:13.972505,1.6,10.2,0.0,0.0
48,1.4,10.2,0.0,0.0,
49,2024-11-05 01:25:14.332767,1.4,10.2,0.0,0.0
50,1.5,10.2,0.0,0.0,
51,2024-11-05 01:25:14.682030,1.5,10.2,0.0,0.0
52,1.4,10.2,0.0,0.0,
53,2024-11-05 01:25:15.031152,3.8,10.2,0.0,0.0
